sequence	net_charge	gravy_index
TRINITY_DN144483_c7_g1_i1.p5	-0.3272949379474833	0.6285714285714286
TRINITY_DN131149_c0_g2_i1.p2	3.8442687995468865	0.04857142857142857
TRINITY_DN138312_c4_g6_i3.p2	-8.082324755750037	-0.5833333333333334
TRINITY_DN139333_c4_g6_i1.p1	1.0223012465171593	-0.5639175257731959
TRINITY_DN142511_c2_g2_i11.p5	-0.1597029656410669	-1.4941176470588236
TRINITY_DN138200_c2_g1_i1.p2	6.471451156777411	-0.4138888888888889
TRINITY_DN145252_c3_g1_i1.p1	-1.9954339369250675	-0.4821917808219178
TRINITY_DN142922_c7_g5_i2.p1	-3.195137013806164	0.4565789473684211
TRINITY_DN144415_c2_g1_i4.p3	-0.23394218174174952	-0.7137931034482758
TRINITY_DN144673_c2_g1_i6.p4	-0.23897416579464625	-0.37058823529411766
TRINITY_DN137631_c5_g1_i2.p3	5.952524861684349	0.2625
TRINITY_DN145839_c0_g1_i20.p2	1.0283828430972193	-0.6581395348837209
TRINITY_DN144291_c5_g7_i1.p3	-1.1574714436613789	-0.9650000000000001
TRINITY_DN144384_c5_g1_i3.p1	0.8513299414972746	0.14399999999999996
TRINITY_DN136668_c3_g2_i2.p10	-0.510545303556666	2.05
TRINITY_DN136118_c0_g1_i1.p1	6.486352912763379	-0.925
TRINITY_DN143096_c2_g1_i1.p6	5.753098607296295	-1.5538461538461539
TRINITY_DN145291_c1_g1_i10.p4	1.7618930753635103	-1.34
TRINITY_DN136903_c2_g1_i6.p1	-2.2512651858195802	0.04556962025316455
TRINITY_DN137350_c1_g1_i5.p2	4.820881256402993	-0.26382978723404255
TRINITY_DN391824_c1_g1_i1.p3	0.8475093224255761	-0.3888888888888889
TRINITY_DN130289_c0_g1_i1.p1	0.5101596713046526	0.12272727272727273
TRINITY_DN134643_c0_g1_i1.p1	6.843063257724089	1.1044117647058822
TRINITY_DN1091132_c10_g1_i1.p3	5.664575533327714	-0.18333333333333338
